710:-0.3682583 -0.9160494 -1.0326587 0.46081856 0.54441416 0.50646335 -0.06525497 0.13780901 -0.8632244 1.6273174
205:-0.5203611 -0.5683508 -0.6455865 0.05440895 -0.5356573 0.37299317 -0.024283994 -0.47087234 -0.7715065 -0.045205206
45:-0.42155862 -0.48421136 -0.04342009 -0.33644158 -0.19708052 0.4506948 -0.030774219 -0.08296674 0.14359288 -0.18376406
515:-0.33424944 -0.6763342 -0.0708205 -0.45008788 -0.265648 0.20131496 0.13033289 -0.029085975 0.4998912 -0.42678612
574:-0.3123993 -0.42804822 -0.59759843 -0.43285352 -0.03990918 0.37179583 0.11467953 0.06627352 0.027725654 0.07866133
858:-0.4397202 0.3931743 -0.11793961 0.06160077 0.33826515 0.06268244 0.20325023 -0.21170527 0.2738358 -0.014413788
619:-0.41746613 -0.6771718 -0.77893806 -0.44989327 0.57898414 0.043470286 0.042517796 -0.42721167 -0.9279338 0.63647974
507:0.038811807 -0.25187334 -0.07844469 -0.4963884 -0.27352202 0.19699627 -0.095348716 0.08876671 -0.2638055 -0.046660665
113:-0.40718192 -0.7175878 -1.0430074 -0.068662405 0.20878467 0.8717961 -0.17794028 -0.014812717 -0.5430678 0.055458497
34:-0.4120802 0.094805166 0.093891874 -0.09017816 -0.13746221 -0.4391978 -0.2737555 -0.2902774 0.104042046 -0.07545383
563:-0.39624065 -0.75073963 -0.1658237 0.021127107 -0.10124043 0.24286126 0.03074887 -0.55602723 -0.49650428 -0.29307124
381:-0.3954306 -0.79871416 0.027824527 -0.07297596 -0.45805612 0.635189 -0.3310123 0.1934643 0.31098387 -0.121028066
455:-0.25337565 -0.94036883 0.41124958 -0.34630662 0.06729548 0.41123867 -0.30649957 0.28606606 -0.08768303 0.933018
388:-0.32908633 -0.22064304 -0.37316406 -0.38244393 0.12796457 -0.09754391 -0.07776548 0.45820528 0.06398526 -0.45827168
169:0.27219644 -0.5895223 0.41428065 -0.15282163 0.36067158 0.5437722 -0.3486396 0.612825 0.25312027 0.9896786
444:-0.22589162 -0.04434576 -0.012361162 -0.0059864665 0.0738576 0.5405492 0.17349647 0.26255882 -0.28162363 -0.015219217
193:0.0954473 -0.4107706 0.08353155 -0.49374747 -0.50033 0.55712765 -0.280862 0.35309938 -0.07513212 0.04246749
713:-0.15160766 -0.79550767 -0.6573408 -0.03690609 0.23914641 0.24967042 -0.19270885 0.103662476 -0.6407184 0.5130183
302:-0.6085315 -0.5671158 -0.14336564 -0.15160866 -0.099481 0.0039481297 0.44154102 -0.21212666 -0.29133055 -0.4046572
153:-0.15190905 0.46118832 1.0410277 -0.04840536 0.15552622 -0.035710074 -0.5149219 0.05093889 -0.64780474 -0.40594396
844:-0.26819393 -0.5772018 -0.48699352 0.06831583 0.4536993 0.27842012 -0.042714357 -0.29722548 -0.84856826 -0.028082686
335:-0.3555861 -0.35788494 -0.86242396 -0.21933994 0.16771467 0.13420607 0.14029954 0.03377181 -0.34305343 -0.45125842
885:-0.16274488 -0.3498521 -0.20851861 -0.6249772 0.31701207 -0.16517653 -0.072147585 -0.037828967 -0.09214374 0.30417672
735:-0.43336454 -0.11235154 -0.98492783 -0.25359213 0.113511905 -0.036958896 0.3983215 0.06372075 -0.7620969 0.23853117
664:-0.25836104 -0.9560622 -0.539704 0.33444667 0.06116421 0.28022417 0.0920202 0.09304382 -0.66442484 0.2535709
93:0.1952283 -0.6654725 -0.21057759 -0.23264563 -0.09458856 0.30144218 -0.5888926 0.5382711 -0.3357302 0.21813393
158:0.4548705 -0.43833804 0.513921 -0.7473928 0.13082795 0.24371013 -0.6300413 0.44139525 0.13252163 0.44711342
458:-0.3038047 -0.3414573 -0.28562418 0.20787479 -0.06642137 0.4909201 -0.20617694 0.060312066 -0.82579 -0.12265366
997:-0.6218741 -0.4996696 -0.68917596 0.12514806 0.3620198 0.053178124 -0.10822328 -0.2923632 -1.1394231 -0.34750026
182:-0.07321505 -1.0558572 -0.25117305 0.08675074 0.25098717 0.94093865 -0.83187926 -0.5383893 -0.122374125 0.11459568
147:-0.62824875 -0.39288336 -0.16229588 -0.10341846 0.14192499 0.4516932 -0.052806906 0.12721393 -0.1548842 0.23167187
616:-0.3628461 -0.51136446 0.40289333 -0.40301985 0.301818 0.15399443 -0.05957116 0.23542656 0.21111666 0.55829227
589:-0.23728652 0.6364962 0.018493121 -0.060390227 -0.16112109 0.020755269 -0.23866409 0.104071535 -0.07388407 -0.1098121
544:0.37531364 -0.22945866 -0.5404858 -0.41247308 -0.13540699 0.5525402 -0.6760981 0.5380703 -1.1419594 0.2877402
436:-0.45686492 -0.37793192 -0.44671634 0.05608351 -0.28353557 0.13025607 -0.60189027 0.22962297 -0.40939942 0.34740436
862:-0.10859289 -0.8627964 -0.16614358 -0.18767527 0.09394735 0.22045553 0.3066924 -0.23868136 -0.21386328 -0.33768606
836:-0.13582565 -0.027369043 -0.6656937 0.09267012 0.77160096 0.5489129 -0.38369375 0.2326105 -0.7192082 0.5376382
697:-0.16986303 -0.06654518 -0.6689591 -0.21983424 0.07023454 0.23494825 -0.039368857 -0.4675266 -0.18457124 0.16751531
12:-0.37417752 0.035142303 -0.6002141 -0.10008421 0.7138349 0.70161974 -0.29838392 0.09721936 -0.40072978 0.69789624
223:-0.20791647 0.18073572 -0.308104 -0.13825275 -0.08918161 0.29958475 -0.0015200982 -0.017101226 0.15794747 -0.16328998
541:-0.09340233 0.54845095 -0.32407847 -0.24372144 0.06949168 0.10278099 0.14358127 -0.26360998 0.03218194 0.020155834
